RF_ID,Descripcion_RF,TC_IDs_cubiertos,Test_automatizado,Estado_QA,Observaciones
RF-001,Login exitoso con credenciales válidas — redirección al dashboard,TC-001 TC-002 TC-008,test_login_analista_returns_token_and_role test_login_revisor_returns_revisor_role,PASS,Ambos roles verificados. Redirección frontend verificada por ProtectedRoute
RF-002,Login fallido — mensaje de error 401 en UI,TC-003 TC-004 TC-005,test_login_bad_password_returns_401 test_login_unknown_email_returns_401,PASS,HTTP 401 con mensaje "Credenciales incorrectas"
RF-003,Acceso a rutas protegidas — redirección a /login sin token,TC-005 TC-006 TC-007 TC-008,test_protected_route_without_token_returns_401 test_protected_route_with_tampered_token_returns_401 test_protected_route_with_invalid_token_returns_401,PASS,DEF-001: logout no invalida JWT (stateless). Token válido 8h tras logout
RF-004,Analista crea proyecto con validaciones,TC-009 TC-010 TC-011,test_create_project_as_analista test_create_project_without_title_returns_422 test_create_project_short_title_returns_422,PASS,Validación Pydantic en backend. Título mínimo 5 chars
RF-005,Listing de proyectos — solo activos — Revisor no puede crear,TC-012 TC-013 TC-014,test_create_project_as_revisor_returns_403 test_list_projects_returns_active_only,PASS,RBAC correcto. Solo proyectos is_active=true retornados
RF-006,Analista genera especificación con LLM-1,TC-015 TC-019 TC-020,test_generate_creates_version_v1 test_generate_llm_timeout_returns_504 test_generate_llm_error_returns_502 test_generate_as_revisor_returns_403,PASS (mock),TC-015 BLOCKED sin API Key real. Mock verifica flujo completo
RF-007,Especificación generada contiene secciones requeridas,TC-016,N/A (requiere API Key),BLOCKED,Depende de TCS_API_KEY real. Sistema de prompts verificado en GENERATOR_SYSTEM_PROMPT
RF-008,Especificación editable antes de enviar a revisión,TC-017,test_update_borrador_requirement,PASS,PUT /requirements/{id} permite edición en estado borrador
RF-009,Cada generación crea versión nueva con modelo y prompt,TC-017 TC-018,test_generate_creates_version_v1 test_generate_increments_version test_generate_model_stored_in_version,PASS,version_number auto-incremental. model_used y prompt_used almacenados
RF-010,LLM-2 invocado automáticamente al enviar a revisión,TC-021 TC-022 TC-023,test_review_ai_sets_en_revision_status test_review_ai_without_version_returns_400,PASS (mock),TC-021 BLOCKED sin API Key. DEF-002: review-ai no requiere rol específico
RF-011,Feedback IA incluye score 0-100 y análisis por sección,TC-023 TC-024,test_review_ai_sets_en_revision_status test_review_ai_uses_different_model_than_generator,PASS (mock),Score extraído con regex de PUNTAJE:. Modelos distintos verificados
RF-012,Revisor ve requisito + especificación + feedback IA,TC-025 TC-030,test_revisor_can_approve test_review_human_without_ai_review_returns_400,PASS,GET /requirements/{id} retorna latest_version y latest_ai_review. ReviewPage en frontend
RF-013,Revisor aprueba → estado aprobado / Rechaza → rechazado,TC-026 TC-027,test_revisor_can_approve test_revisor_can_reject_with_feedback test_approve_creates_audit_log test_reject_creates_audit_log,PASS,Máquina de estados correcta. Audit log generado en ambos casos
RF-014,Analista NO puede aprobar/rechazar,TC-028 TC-029,test_analista_cannot_approve test_analista_cannot_reject,PASS,HTTP 403 para analista en endpoints approve y reject
RF-015,Analista reincorpora feedback y re-genera con contexto,TC-032 TC-033,test_generate_increments_version,FAIL,DEF-003 HIGH: feedback_context existe en modelo pero /generate no lo recibe. Re-generación no pasa contexto previo al LLM
RF-016,Historial de versiones con fecha modelo y estado,TC-034,test_history_returns_versions_desc test_history_nonexistent_requirement_returns_404,PASS,GET /requirements/{id}/history retorna versiones ordenadas DESC
RF-017,Exportación a HTML descargable para requisitos aprobados,TC-035 TC-036 TC-037,test_export_approved_returns_html test_export_html_contains_title test_export_non_approved_returns_400,PASS,Content-Disposition attachment. HTML con escape de entidades
RF-018,Audit log registra todas las acciones del ciclo de vida,TC-038 TC-039,test_generate_audit_log_entry test_login_registers_in_audit test_logout_registers_in_audit test_requirement_audit_on_create test_create_project_audit_log test_approve_creates_audit_log test_reject_creates_audit_log,PASS,10 tipos de acciones mapeados en código. Todos verificados en tests
RF-019,Toast/banner en éxito de generación error LLM y timeout,TC-040 TC-041,N/A (UI) / test_generate_llm_timeout_returns_504,PASS (parcial),DEF-004 LOW: dashboard sin métricas de tiempo/modelo. API devuelve errores correctos (502/504)
RF-020,Dashboard con totales por estado tiempo promedio y modelos,TC-042 TC-043,N/A (UI calculada en frontend),PASS (parcial),Métricas de conteo implementadas en frontend. Sin endpoint /stats ni tiempo promedio expuesto
